Estado,Município(s),Nome do Conflito,Data,Trabalhadores,Resgatados,Menores,Tipo de trabalho
Alagoas,Flexeiras,Pedreira Faz. Manacá,08/07/2021,5,5,0,Extração de britamento
Alagoas,Joaquim Gomes,Faz. Rosário de Maria,08/07/2021,1,1,0,Atividade de apoio
Amazonas,Novo Aripuanã,Fazenda na Margem do rio Guariba,09/05/2021,12,12,0,flAotirveisdtaadle de manejo
Bahia,Riachão das Neves,Fazenda Ribanceira,30/12/2021,1,1,,Criação de bovinos
Bahia,Xique-Xique,Fazenda Saco dos Bois,22/09/2021,44,43,,Edxat rpaaçlãmoe idrae  fcoalrhnaasú eb apó
Bahia,Xique-Xique,Fazenda Pescada,30/12/2021,10,10,,CNoalteutraa idse Produtos
Ceara,Granja,Sítio Nazaré,27/09/2021,9,9,,Ecxatrrnaaçúãboa da palha de
Ceara,Russas,Empresa Cerâmica Jardim,13/10/2021,1,1,,Pdreo dceurçâãom idcea artefatos
Distrito Federal,Brasília,Horticultura Exceto,22/03/2021,6,6,,Horticultura
Distrito Federal,Brasília,Rancho Paixão,25/12/2021,10,10,,Hortaliças
Espirito Santo,Itapemirim,Brito Transporte e MecanizaçãoAgrícola,14/06/2021,4,4,,Atividades de Apoio/Corte de cana de
Espirito Santo,Linhares,Fazenda Rio Quartel,04/11/2021,5,5,,Colheita de café
Espirito Santo,Vila Valério,Fazenda Vargem Alegre,07/05/2021,70,70,,Colheita de Café
Goias,Água Fria de Goiás,Faz. Araçá/Souza Paiol VasconcelosIndústria e Comécio Cigarro de PalhaLtda,21/10/2021,116,116,5,Extração de palha demilho para prod. decigarro
Goias,Águas Lindas de Goiás,Chácara em Águas Lindas,09/05/2021,1,1,0,Caseiro
Goias,Alto Paraíso de Goiás,Carvoaria na Faz. Posse/NascenteAgroindustrial Ltda,02/04/2021,6,6,0,Extração de eucalipto -Carvoaria
Goias,Aporé,Lavoura de Soja em Aporé,09/05/2021,5,5,2,Cduel tiRvaoíz dese Soja/Catação
Goias,Caldas Novas,Faz. Tamboril,22/01/2021,24,24,1,Cultivo de Laranja
Goias,Cristalina,Fazenda Ipê,19/01/2021,26,,,Desbrota de café
Goias,Cristalina,Faz. Santa Luzia,31/01/2021,7,7,0,Cultivo de Eucalipto
Goias,Cristalina,Fazendas Furnas e Buracão,16/12/2021,10,10,0,Carvoaria
Goias,Formosa,Faz. Muzungo,19/08/2021,2,1,0,Serviços Gerais - Cerca
Goias,Goiânia,Chácara Matinha/Horta de Pimenta,26/05/2021,1,1,0,Cultivo de Pimenta
Goias,Jataí,Faz. de Geraldo Bifon,06/08/2021,54,54,1,Extração de palha demilho - prod. de cigarrode palha
Goias,Luziânia,Faz. Brito/Carvoaria,16/12/2021,2,2,1,Carvoaria
Goias,Nova Crixás,Faz. Nossa Senhora Aparecida,29/10/2021,5,5,0,Pecuária
Goias,Nova Crixás,Fazenda Gramado,29/10/2021,6,6,0,Pgraoddoução de ração para
Goias,Paraúna,Faz. Santa Úrsula II,29/10/2021,21,20,0,Roçagem de Pastos
Goias,Piranhas,Faz. Bom Jesus,22/10/2021,11,11,0,Criação bovina
Goias,Pontalina,Faz. Arca de Noé,29/10/2021,33,33,0,Colheita de Laranja
Maranhao,Açailândia,Fazenda Estrela/Assentamento Terra,20/09/2021,1,1,,Preparo do solo para
Maranhao,Amarante do Maranhão,Fazenda Bom Retiro,20/09/2021,1,1,,Roço de pastos comfoices e aplicação deagrotóxicos.
Maranhao,Barra do Corda,Fazenda Hortaliça,18/06/2021,5,5,1,Lavoura de Hortaliças
Maranhao,Bom Jesus das Selvas,Fazenda Pedreira 002,20/09/2021,16,11,,Cultivo de Milho
Maranhao,Bom Jesus das Selvas,Fazenda Pedreira 002,20/09/2021,3,2,,Cultivo de Milho
Maranhao,Carolina,Fazenda Horizonte,13/10/2021,25,0,,Lavoura de Milho e Soja
Maranhao,Codó,Faz. em Codó,30/12/2021,1,1,,Criação de bovinos
Maranhao,Itinga do Maranhão,Fazenda Bela Vista,18/06/2021,1,1,,Criação de Bovinos
Maranhao,Mirador,Povoado Liso/Carvoaria,25/10/2021,11,11,,Produção de Carvão
Maranhao,Riachão,Fazenda Santa Rita,25/10/2021,15,15,,cPrueltipvaor od de os osjoalo para
Maranhao,São Félix de Balsas,Carvoaria em São Felix de Balsas,23/12/2021,6,6,,Produção de carvão
Maranhao,Sucupira do Norte,Fazenda Recreio Curral Velho,27/08/2021,1,1,,Lavoura do Seja
Mato Grosso,Bom Jesus do Araguaia,Faz Guapeva Agropecuária Quantum,23/11/2021,25,,,Plantio de Soja
Mato Grosso,Cáceres,Estância Bela Vista,31/12/2021,1,1,,cCoriratçeão de bovinos para
Mato Grosso,Guarantã do Norte,Fazenda Marupá,15/09/2021,6,6,,CGornãsotsrução de Silo de
Mato Grosso,Itaúba,Fazenda Eldorado,15/09/2021,5,5,,Catação de raízes
Mato Grosso,Juína,FAaRzReUndDaA  ÁGgUuIaM BAoRaA/ESSELMA PINTO DE,25/02/2021,1,1,,Criação de Gado
Mato Grosso,Juína,FDaAzeMnIAdNaI Água Boa/MOACIR JOSE,25/02/2021,1,1,,Criação de gado
Mato Grosso,Nossa Senhora do Livramento,Fazenda Estância 3E,11/05/2021,1,1,,Criação de bovinos
Mato Grosso,Rosário Oeste,Rancho Vó Fia,20/08/2021,2,2,,Serviços Domésticos
Mato Grosso do Sul,Anastácio,Fazenda Graça de Deus,19/05/2021,20,20,,Extração de madeira
Mato Grosso do Sul,Antônio João,Fazenda Itaguassú,26/05/2021,11,11,4,"lLaivmopuerza ad, ep rmeilphaoro da"
Mato Grosso do Sul,Campo Grande,Fazenda Três Marias,03/11/2021,3,3,,Cultivo de soja
Mato Grosso do Sul,Corumbá,Fazenda de Gado em Corumbá,30/12/2021,2,2,,Criação de gado
Mato Grosso do Sul,Corumbá,Faz. Baia do Cambará Redondo,20/10/2021,2,2,,cCoriratçeão de gado de
Mato Grosso do Sul,Corumbá,Fazenda de Gado em Corumbá,30/12/2021,4,4,,Criação de gado
Mato Grosso do Sul,Ponta Porã,Fazenda Pindorama,19/08/2021,8,8,,Cultivo de eucalipto
Mato Grosso do Sul,Porto Murtinho,Fazenda Canadá,20/11/2021,5,5,,Criação de gado
Mato Grosso do Sul,Porto Murtinho,Fazenda Nova Paradouro,31/01/2021,3,3,,Criação de gado
Mato Grosso do Sul,Sidrolândia,Fazenda de Gado em Sidrolândia,31/01/2021,22,22,5,Cultivo de soja
Minas Gerais,Abadia dos Dourados,Carvoaria do Daniel,19/04/2021,12,12,0,Produção de Carvão
Minas Gerais,Araponga,Fazenda São Domingos,02/09/2021,6,6,0,Sem Informação
Minas Gerais,Bambuí,Fazenda São Cornélio/Montijo,30/12/2021,11,11,0,Produção de Carvão
Minas Gerais,Boa Esperança,Fazenda Ouro Preto,13/07/2021,30,30,1,Cultivo de Café
Minas Gerais,Buritizeiro,Fazenda Formoso II,13/10/2021,6,6,0,Produção de Carvão
Minas Gerais,Cabo Verde,FPaezd.r aCsapoeira Grande e Córrego das,13/07/2021,12,12,0,Sem informação
Minas Gerais,Campestre,Sítio Borda do Mato,20/10/2021,5,5,0,Sem Informação
Minas Gerais,Campestre,Sítio Posses,31/01/2021,1,1,0,Sem informação
Minas Gerais,Campos Altos,Fazenda Mutuca,06/08/2021,17,17,0,Cultivo de Café
Minas Gerais,Campos Altos,Fazenda Campo Florido,03/08/2021,14,14,1,Produção de Café
Minas Gerais,Carmo do Rio Claro,Fazenda Entre Cachoeiras,02/09/2021,3,3,0,Cultivo de Café
Minas Gerais,Coromandel,Fazenda Bueno,28/09/2021,7,7,0,Produção de Carvão
Minas Gerais,Coromandel,Rocha Floresta Eireli,28/09/2021,114,114,0,Colheita de Alho
Minas Gerais,Córrego Danta,Fazenda Bueno,04/08/2021,2,2,0,Produção de Carvão
Minas Gerais,Curvelo,Faz. Pontilhão Lagoa Azul e Tabatinga,31/01/2021,3,3,0,Sem informação
Minas Gerais,Delta,Delta Sucroenergeia,31/01/2021,45,45,0,PArçoúdcuaçrão de Cana de
Minas Gerais,Espírito Santo do Dourado,Sítio Dois Irmãos,20/10/2021,5,5,0,Cultivo de Morango
Minas Gerais,Galiléia,Fazenda Pé do Morro,18/05/2021,2,2,0,Produção de Carvão
Minas Gerais,Heliodora,Fazenda Floresta,20/10/2021,20,20,0,Cultivo do Café
Minas Gerais,Ilicínea,Faz. Esperança e Bandeira Branca,13/07/2021,9,9,0,Cultivo de Café
Minas Gerais,Ilicínea,Fazenda Laranjeira,13/07/2021,24,24,0,Cultivo de Café
Minas Gerais,Inhaúma,Empresa de Cerâmica em Inhaúma,08/02/2021,11,11,2,Produção de cerâmica
Minas Gerais,Ipanema,Fazenda Mirote,31/01/2021,1,1,0,Criação de Bovino
Minas Gerais,Itabira,Fazenda Estoril,10/08/2021,4,,0,Produção de Leite
Minas Gerais,João Pinheiro,Faz. Boa Esperança/Carvoaria,13/10/2021,15,15,2,Sem Informação
Minas Gerais,João Pinheiro,Fazenda Brejo,31/01/2021,28,28,0,Produção de Carvão
Minas Gerais,João Pinheiro,Fazenda Brejo,31/01/2021,38,38,0,Produção de Carvão
Minas Gerais,João Pinheiro,Carvoaria em João Pinheiro,30/12/2021,6,6,0,Produção de Carvão
Minas Gerais,Lagoa dos Patos,Fazenda Santa Rita,30/11/2021,1,1,0,Criação de Bovino
Minas Gerais,Machado,Sítio da Mata,30/10/2021,5,5,0,Cultivo de Café
Minas Gerais,Minas Novas,Faz. Córrego da Trovada,16/02/2021,5,5,3,Sem Informação
Minas Gerais,Paracatu,CMoanrida.  PEamrapcraetguazidnohreos Rurais Santa,08/06/2021,84,84,0,Cultivo de Milho
Minas Gerais,Patrocínio,Faz. Barra do Salitre,20/08/2021,6,6,0,Produção de Carvão
Minas Gerais,Poço Fundo,Sítio Barra Grande,20/10/2021,7,7,0,Cultivo de Café
Minas Gerais,Poço Fundo,Sítio Jatobá,20/10/2021,5,5,0,Cultivo de Café
Minas Gerais,Prata,Faz. Paraíso do Prata,11/05/2021,52,52,0,PAlçaúntciaor de Cana de
Minas Gerais,Prata,Faz. Pontal de Angico,20/10/2021,1,1,0,Criação de Bovino
Minas Gerais,Pratinha,Faz. Quebra Anzol,22/06/2021,9,9,0,Cultivo de Café
Minas Gerais,Presidente Olegário,Fazenda Roncador,22/06/2021,3,2,0,Sem Informação
Minas Gerais,Queluzito,Faz. Rincão,03/07/2021,0,0,,None
Minas Gerais,Rio Vermelho,Fazenda Palmeiras,30/06/2021,4,4,0,Criação de Bolvino
Minas Gerais,Sacramento,FSaeznehnodraa Santa Fé/ Faz. Nossa,20/11/2021,4,4,0,Produção de Carvão
Minas Gerais,Santa Fé de Minas,Faz. Santa Maria,31/01/2021,13,13,0,Criação de Bovinos
Minas Gerais,São João del Rei,Sítio em São João Del Rei,18/11/2021,1,1,0,Sem Informação
Minas Gerais,São Pedro da União,Sítio Pessegueiro,02/09/2021,6,6,0,Cultivo de Café
Minas Gerais,São Sebastião da Bela Vista,Faz. Conego Vitor,20/08/2021,2,2,0,Criação de Bovina
Minas Gerais,São Sebastião do Paraíso,Faz. Haras Julu,02/09/2021,7,7,0,Cultivo de Café
Minas Gerais,Tapira,Fazenda Forquinha,30/12/2021,77,76,0,Cultivo de Alho
Minas Gerais,Tapira,Fazenda Água Parada,31/01/2021,6,6,0,Sem informação
Minas Gerais,Tapira,Fazenda Tamboril/Seara,12/11/2021,6,6,0,Produção de Carvão
Minas Gerais,Tapira,Fazenda Tamboril/Seara,02/03/2021,8,8,0,Cultivo do Café
Para,Cumaru do Norte,T. I. Kayapó,26/08/2021,2,,0,Eouxrtroação de minério -
Para,Cumaru do Norte,Fazenda Terra Roxa,26/01/2021,3,3,0,Criação de gado
Para,Cumaru do Norte,Faz. Serra Rica,01/06/2021,8,8,0,oEuxrtroação de Minérios -
Para,Cumaru do Norte,Faz. Serra Rica,01/06/2021,7,7,0,oEuxrtroação de minérios -
Para,Cumaru do Norte,Faz. Serra Rica,01/06/2021,8,8,0,Extração de Minérios
Para,Cumaru do Norte,Faz. Vale da Paz/Vila Cangaia,01/06/2021,4,4,0,Extração de Minério
Para,Cumaru do Norte,Faz. Serra Rica,15/07/2021,3,3,0,Criação de bovinos
Para,Dom Eliseu,Faz. Casa Verde,28/04/2021,6,6,2,cCeriracçaãmoe dnteo  gdaed op aesto
Para,Floresta do Araguaia,Faz. Santa Maria,03/08/2021,22,0,1,Quebra de Milho
Para,Itupiranga,Faz. Pedra Branca,20/10/2021,5,5,0,eCxritarçaãção od de eg aardgoil ae
Para,Itupiranga,Fazenda Primavera,22/10/2021,2,2,0,Criação de gado leiteiro
Para,Nova Ipixuna,Faz. Lua Cheia,20/10/2021,6,6,2,eCxritarçaãção od de eg aardgoil ae
Para,Novo Repartimento,FLatdz.a Arataú/Agropecuária Rio Aratau,11/12/2021,5,5,0,Extração de madeira
Para,Ourilândia do Norte,Garimpo Ilegal,05/08/2021,83,,3,Eouxrtroação de minério -
Para,Pacajá,Faz. Montes Altos,20/08/2021,4,4,0,cCoriratçeão de bovinos para
Para,Peixe-Boi,Faz. Tauarizinho,20/11/2021,15,15,0,Cultivo de feijão
Para,Rio Maria,Área de Garimpo,30/09/2021,10,10,0,Extração de Minérios
Para,Rio Maria,Garimpo de Elton Mendanha da Costa,30/09/2021,4,4,0,Extração de minérios
Para,Rio Maria,CGaarmiamrpgoo de Matheus Cantanhede,30/09/2021,8,8,0,Extração de minérios
Para,Santa Maria das Barreiras,Faz. Rio Preto/Garimpo,30/10/2021,15,,0,Extração ilegal de ouro
Para,São Félix do Xingu,Faz. Espora de Prata,25/05/2021,30,0,0,Enxattirvaação de madeira
Para,São Félix do Xingu,Faz. Cavalo Dourado,30/05/2021,3,3,0,Ecoxtnrsatçruãço ãdo e dMe acdeericraas e
Para,São Félix do Xingu,Faz. Delta do Triunfo/Terra do Meio,07/07/2021,5,5,1,Extração de madeiranativa e preparo deestacas e cercas
Para,São Félix do Xingu,Faz. Mata Verde,20/10/2021,3,2,0,Extração de minérios
Para,São Geraldo do Araguaia,Faz. Céu Azul,11/12/2021,1,1,0,aAgprlioctaóçxiãcoo sde
Para,Xinguara,Fazenda Acapulco,06/09/2021,13,,,None
Parana,Espigão Alto do Iguaçu,Fazenda Vigano 2,03/09/2021,1,1,,Criação de Gado
Parana,Irati,Mineradora Molinari Pedras,19/09/2021,2,1,,Britamento de pedras
Parana,Tamboara,Sítio São Luís,31/01/2021,1,1,,CAuçlúticvaor de Cana de
Pernambuco,Bezerros,Fazenda em Bezerros,15/03/2021,1,1,,Pecuária
Pernambuco,Cabo de Santo Agostinho,Parque de Diversões Liderança,31/01/2021,5,5,,Parque de diversões
Pernambuco,Ibimirim,Fazenda Bueira Torta,03/08/2021,6,6,,Lavoura de Tomate
Pernambuco,Sertânia,Sítio Lage da Raposa,03/08/2021,1,1,,Epxetdrraaçsão e corte de
Piaui,Castelo do Piauí,Carnaubal do Cidoca Mineiro,01/09/2021,10,10,1,ECxatrrnaaçúãboa de palhas de
Piaui,Colônia do Gurguéia,Fazenda do Remilson,20/10/2021,6,6,1,Lavoura de soja
Piaui,Itaueira,Fazenda Castelo,01/12/2021,11,4,0,Eflxortreasçtaãso  pdlea nmtaaddaesira
Piaui,Jatobá do Piauí,Fazenda Cascalho,01/09/2021,8,8,0,Ecxartrnaaçúãboa de palhas de
Piaui,Marcolândia,Casa de Farinha em Marcolândia,18/11/2021,3,3,3,Casa de farinha
Rio Grande do Norte,Equador,AK Mineração/Sítio Tanquinho,31/01/2021,11,11,0,Extração de Caulim ebeneficiamento comgesso
Rio Grande do Sul,Flores da Cunha,Fazenda em Flores da Cunha,30/12/2021,25,25,,Cultivo de Alho
Rio Grande do Sul,Fontoura Xavier,Fazenda em Fontoura Xavier,31/01/2021,3,3,,Cultivo de Fumo
Rio Grande do Sul,Quaraí,Fazenda em Quaraí,15/07/2021,1,1,,Criação de Gado
Rio Grande do Sul,Triunfo,Faz Quadros/Depósito Cerealista,23/05/2021,18,18,,Processamento
Rio Grande do Sul,Venâncio Aires,Carvoaria em Venâncio Aires,31/01/2021,4,4,,Carvoaria
Rio Grande do Sul,Venâncio Aires,CTA Continental Tobaccos Alliance S/A,25/02/2021,11,9,5,"Produção de Tabacos
TpaOrBaA CCOCNOTSI NAELNLTIAANLCE
S/A"
Roraima,Caracaraí,Invicta Fazenda de Açaí e Psicultura,24/11/2021,7,7,5,Construção de sede eberçário e plantação demudas de açaí
Santa Catarina,Bom Retiro,Fazenda em Bom Retiro,17/12/2021,4,4,,"Pmlaançtãio de alho, cebola e"
Sao Paulo,Guatapará,Aterro do Varjão,20/10/2021,2,2,,Pecuária
Sao Paulo,Ituverava,Fazenda em Ituverava,09/04/2021,22,22,,Residência/Canavial
Sao Paulo,Ituverava,JC Transportes,09/04/2021,22,0,,Canavial
Sao Paulo,Limeira,Chácara Barra Verde,20/12/2021,3,3,,Abrigo de cães e gatos
Sao Paulo,Pedregulho,Fazenda Nossa Senhora das Graças/Fazenda Dom Bosco,06/06/2021,56,56,10,Café
Sergipe,Canindé de São Francisco,Sítio Cachinho,30/05/2021,2,2,,Pedreira
Tocantins,Arapoema,Faz. Por do Sol e Baronesa,23/10/2021,5,,,eComn sptarsutçaãgoe dme cercas
Tocantins,Gurupi,Faz. Cascalho Rico,27/04/2021,8,,,Retirada de eucalípto
Tocantins,Mateiros,Hostel Rota 110,21/05/2021,7,,1,None
Tocantins,Monte Santo do Tocantins,FSaazn.t oD ed oC Trioacçaãnot indse Gado em Monte,31/01/2021,15,15,,Pecuária
